사건,신고시각,출동시각,현장도착시각,구조완료시각,복귀시각,신고,출동,구조,복귀,현장시도명,현장시군구명,손상지역경도,손상지역위도,사고원인명,소방서명,센터명,처리결과구분명,계절명
87,2023.1.11 21:10,2023.1.11 21:13,2023.1.11 21:31,2023.1.11 21:50,2023.1.11 22:00,0:03,0:18,0:19,0:10,서울특별시,송파구,127.0967211,37.52193304,기타 수난 ,송파소방서,잠실119안전센터,자체처리,겨울
88,2023.1.11 21:10,2023.1.11 21:13,2023.1.11 21:17,2023.1.11 21:33,2023.1.11 21:45,0:03,0:04,0:16,0:12,서울특별시,송파구,127.0967211,37.52193304,기타 수난 ,119특수구조단,뚝섬수난구조대,타기관 인계,겨울
89,2023.1.12 0:11,2023.1.12 0:12,2023.1.12 0:16,2023.1.12 0:25,2023.1.12 0:30,0:01,0:04,0:09,0:05,서울특별시,마포구,126.9412484,37.53655063,기타 수난 ,마포소방서,구조대,안전조치,겨울
90,2023.1.12 0:11,2023.1.12 0:12,2023.1.12 0:16,2023.1.12 0:25,2023.1.12 0:35,0:01,0:04,0:09,0:10,서울특별시,마포구,126.9412484,37.53655063,기타 수난 ,119특수구조단,여의도수난구조대,타기관 인계,겨울
91,2023.1.12 10:40,2023.1.12 10:41,2023.1.12 10:46,2023.1.12 10:54,2023.1.12 11:05,0:01,0:05,0:08,0:11,서울특별시,마포구,126.9416266,37.53690036,기타 수난 ,마포소방서,구조대,타기관 인계,겨울
92,2023.1.12 11:56,2023.1.12 11:57,2023.1.12 12:03,2023.1.12 12:03,2023.1.12 12:22,0:01,0:06,0:00,0:19,서울특별시,서초구,126.9959585,37.5156527,기타 수난 ,서초소방서,구조대,타기관 인계,겨울
93,2023.1.12 11:56,2023.1.12 11:57,2023.1.12 12:02,2023.1.12 12:07,2023.1.12 12:15,0:01,0:05,0:05,0:08,서울특별시,서초구,126.9959585,37.5156527,기타 수난 ,119특수구조단,반포수난구조대,타기관 인계,겨울
94,2023.1.12 12:01,2023.1.12 12:03,2023.1.12 12:04,2023.1.12 12:08,2023.1.12 12:10,0:02,0:01,0:04,0:02,서울특별시,양천구,126.8507565,37.52197587,기타 수난 ,양천소방서,신정119안전센터,자체처리,겨울
95,2023.1.12 13:05,2023.1.12 13:07,2023.1.12 13:12,2023.1.12 13:25,2023.1.12 13:30,0:02,0:05,0:13,0:05,서울특별시,도봉구,127.041065,37.66798743,침수,도봉소방서,현장대응단,기타안전조치,겨울
96,2023.1.12 13:58,2023.1.12 14:02,2023.1.12 14:11,2023.1.12 14:14,2023.1.12 14:37,0:04,0:09,0:03,0:23,서울특별시,광진구,127.0957303,37.53288845,기타 수난 ,광진소방서,구조대,인명검색,겨울
97,2023.1.12 13:58,2023.1.12 14:02,2023.1.12 14:11,2023.1.12 14:25,2023.1.12 14:30,0:04,0:09,0:14,0:05,서울특별시,광진구,127.0957303,37.53288845,기타 수난 ,119특수구조단,광나루수난구조대,타기관 인계,겨울
98,2023.1.12 17:23,2023.1.12 17:24,2023.1.12 17:33,2023.1.12 17:42,2023.1.12 18:30,0:01,0:09,0:09,0:48,서울특별시,용산구,126.9671049,37.54689969,침수,용산소방서,현장대응단,기타안전조치,겨울
99,2023.1.12 17:46,2023.1.12 17:47,2023.1.12 17:52,2023.1.12 18:03,2023.1.12 18:20,0:01,0:05,0:11,0:17,서울특별시,서초구,126.9965326,37.51455156,기타 수난 ,서초소방서,구조대,타기관 인계,겨울
100,2023.1.12 17:46,2023.1.12 17:47,2023.1.12 17:52,2023.1.12 17:54,2023.1.12 18:00,0:01,0:05,0:02,0:06,서울특별시,서초구,126.9965326,37.51455156,기타 수난 ,119특수구조단,반포수난구조대,타기관 인계,겨울
101,2023.1.13 2:11,2023.1.13 2:13,2023.1.13 2:20,2023.1.13 2:31,2023.1.13 2:40,0:02,0:07,0:11,0:09,서울특별시,용산구,127.0021931,37.52358493,기타 수난 ,용산소방서,서빙고119안전센터,인명구조,겨울
102,2023.1.13 6:35,2023.1.13 6:36,2023.1.13 6:44,2023.1.13 7:10,2023.1.13 7:20,0:01,0:08,0:26,0:10,서울특별시,구로구,126.8703188,37.4992058,침수,구로소방서,현장대응단,안전조치,겨울
